model,auc,brier,incremental_auc_over_p_alive
Majority class,0.5,0.24957062746514827,0.08803817950923759
"1 - p_alive (BG/NBD, no ML)",0.4119618204907624,,0.0
Recency alone,0.7673343984269387,,0.3553725779361763
Logistic regression (RFM primitives),0.7981545205030519,0.18317868388584668,0.3861927000122895
"XGBoost (tuned, isotonic calibrated)",0.810255622465282,0.17804769715367588,0.39829380197451963
