,cost=2.5,cost=5.0,cost=7.5,cost=10.0,cost=15.0
uplift=0.05,6530.387150215316,2702.346255849867,1523.4432741648025,1122.5732124513374,815.9377117754475
uplift=0.10,18060.774300430632,10340.953638670479,7003.399676216846,5112.668485492333,3046.886548329605
uplift=0.20,41121.548600861264,25681.907277340957,19001.799352433693,15225.336970984667,10995.013371956926
uplift=0.30,64182.322901291904,41022.860916011436,31000.19902865053,25338.005456476996,18990.020057935384
uplift=0.50,110303.87150215318,71704.7681933524,54996.998381084224,45563.34242746166,34980.03342989231
